0	0.006865
1	0.000469
2	0.000337
3	0.000254
4	0.000194
5	0.000177
6	0.00016
7	0.000147
8	0.000132
9	0.000117
10	0.000109
11	0.000118
12	0.000157
13	0.000233
14	0.000339
15	0.00046
16	0.000577
17	0.000684
18	0.000769
19	0.000832
20	0.000894
21	0.000954
22	0.00099
23	0.000997
24	0.000982
25	0.00096
26	0.000942
27	0.000936
28	0.000947
29	0.000974
30	0.001008
31	0.001046
32	0.001097
33	0.001162
34	0.001244
35	0.001336
36	0.001441
37	0.001567
38	0.001714
39	0.001874
40	0.002038
41	0.002207
42	0.002389
43	0.002593
44	0.002819
45	0.003064
46	0.003322
47	0.003589
48	0.003863
49	0.004148
50	0.004458
51	0.0048
52	0.005165
53	0.005554
54	0.005971
55	0.006423
56	0.006925
57	0.007496
58	0.00816
59	0.008927
60	0.009827
61	0.010831
62	0.011872
63	0.012891
64	0.013908
65	0.015003
66	0.016267
67	0.017699
68	0.01932
69	0.021108
70	0.02295
71	0.024904
72	0.027151
73	0.029784
74	0.032753
75	0.035831
76	0.038987
77	0.042503
78	0.046557
79	0.0512
80	0.056335
81	0.061837
82	0.067856
83	0.074504
84	0.081975
85	0.089682
86	0.098031
87	0.107059
88	0.116804
89	0.1273
90	0.138581
91	0.150676
92	0.163611
93	0.177408
94	0.19208
95	0.207636
96	0.224075
97	0.241387
98	0.259552
99	0.278539
100	1
101	1
102	1
103	1
104	1
105	1
