HHID	HHType	HHFormedDate	adultNames	childNames	address	
PRE-283_singleHH	1	PRE	['PRE-283']	['PRE-283_singleHH_KID_0']	20195	
PRE-2212_M_PRE-2213	2	PRE	['PRE-2212', 'PRE-2213']	['PRE-2212_M_PRE-2213_KID_0', 'PRE-2212_M_PRE-2213_KID_1']	18974	
PRE-1598_singleHH	1	PRE	['PRE-1598']	[]	7267	
PRE-1805_singleHH	1	PRE	['PRE-1805']	['PRE-1805_singleHH_KID_0', 'PRE-1805_singleHH_KID_1', 'PRE-1805_singleHH_KID_2']	17477	
PRE-1894_singleHH	1	PRE	['PRE-1894']	['PRE-1894_singleHH_KID_0', 'PRE-1894_singleHH_KID_1']	18609	
PRE-3224_M_PRE-3225	2	PRE	['PRE-3224', 'PRE-3225']	['PRE-3224_M_PRE-3225_KID_0', 'PRE-3224_M_PRE-3225_KID_1']	17957	
PRE-4368_singleHH	1	PRE	['PRE-4368']	['PRE-4368_singleHH_KID_0']	13880	
PRE-83_singleHH	1	PRE	['PRE-83']	['PRE-83_singleHH_KID_0']	8696	
PRE-2101_singleHH	1	PRE	['PRE-2101']	['PRE-2101_singleHH_KID_0']	8357	
PRE-530_singleHH	1	PRE	['PRE-530']	['PRE-530_singleHH_KID_0', 'PRE-530_singleHH_KID_1', 'PRE-530_singleHH_KID_2']	15445	
PRE-2289_singleHH	1	PRE	['PRE-2289']	['PRE-2289_singleHH_KID_0', 'PRE-2289_singleHH_KID_1', 'PRE-2289_singleHH_KID_2', 'PRE-2289_singleHH_KID_3']	15111	
PRE-4857_singleHH	1	PRE	['PRE-4857']	['PRE-4857_singleHH_KID_0', 'PRE-4857_singleHH_KID_1']	9490	
PRE-1229_singleHH	1	PRE	['PRE-1229']	['PRE-1229_singleHH_KID_0', 'PRE-1229_singleHH_KID_1', 'PRE-1229_singleHH_KID_2']	999999999	
PRE-1281_M_PRE-1282	2	PRE	['PRE-1281', 'PRE-1282']	['PRE-1281_M_PRE-1282_KID_0', 'PRE-1281_M_PRE-1282_KID_1', 'PRE-1281_M_PRE-1282_KID_2', 'PRE-1281_M_PRE-1282_KID_3']	3432	
PRE-1550_singleHH	1	PRE	['PRE-1550']	['PRE-1550_singleHH_KID_0', 'PRE-1550_singleHH_KID_1', 'PRE-1550_singleHH_KID_2', 'PRE-1550_singleHH_KID_3']	12361	
PRE-3816_singleHH	1	PRE	['PRE-3816']	['PRE-3816_singleHH_KID_0']	15924	
PRE-456_singleHH	1	PRE	['PRE-456']	['PRE-456_singleHH_KID_0', 'PRE-456_singleHH_KID_1', 'PRE-456_singleHH_KID_2', 'PRE-456_singleHH_KID_3']	999999999	
PRE-663_singleHH	1	PRE	['PRE-663']	['PRE-663_singleHH_KID_0', 'PRE-663_singleHH_KID_1']	452	
PRE-274_singleHH	1	PRE	['PRE-274']	['PRE-274_singleHH_KID_0', 'PRE-274_singleHH_KID_1', 'PRE-274_singleHH_KID_2', 'PRE-274_singleHH_KID_3']	5730	
PRE-1518_M_PRE-1519	2	PRE	['PRE-1518', 'PRE-1519']	['PRE-1518_M_PRE-1519_KID_0', 'PRE-1518_M_PRE-1519_KID_1']	18018	
PRE-1719_singleHH	1	PRE	['PRE-1719']	['PRE-1719_singleHH_KID_0', 'PRE-1719_singleHH_KID_1', 'PRE-1719_singleHH_KID_2']	6240	
PRE-3667_M_PRE-3668	2	PRE	['PRE-3667', 'PRE-3668']	[]	18448	
PRE-4554_singleHH	1	PRE	['PRE-4554']	['PRE-4554_singleHH_KID_0', 'PRE-4554_singleHH_KID_1', 'PRE-4554_singleHH_KID_2', 'PRE-4554_singleHH_KID_3']	999999999	
PRE-4596_singleHH	1	PRE	['PRE-4596']	['PRE-4596_singleHH_KID_0']	20579	
PRE-544_singleHH	1	PRE	['PRE-544']	['PRE-544_singleHH_KID_0']	999999999	
PRE-4091_singleHH	1	PRE	['PRE-4091']	[]	4928	
PRE-751_singleHH	1	PRE	['PRE-751']	['PRE-751_singleHH_KID_0', 'PRE-751_singleHH_KID_1']	10270	
PRE-4406_singleHH	1	PRE	['PRE-4406']	['PRE-4406_singleHH_KID_0', 'PRE-4406_singleHH_KID_1', 'PRE-4406_singleHH_KID_2']	9539	
PRE-1276_singleHH	1	PRE	['PRE-1276']	[]	18995	
PRE-2787_singleHH	1	PRE	['PRE-2787']	['PRE-2787_singleHH_KID_0']	11082	
PRE-4362_singleHH	1	PRE	['PRE-4362']	['PRE-4362_singleHH_KID_0']	10097	
PRE-2315_singleHH	1	PRE	['PRE-2315']	['PRE-2315_singleHH_KID_0']	20978	
PRE-3_M_PRE-4	2	PRE	['PRE-3', 'PRE-4']	['PRE-3_M_PRE-4_KID_0', 'PRE-3_M_PRE-4_KID_1']	17056	
PRE-2883_M_PRE-2884	2	PRE	['PRE-2883', 'PRE-2884']	[]	7596	
PRE-2689_singleHH	1	PRE	['PRE-2689']	['PRE-2689_singleHH_KID_0']	2230	
PRE-311_singleHH	1	PRE	['PRE-311']	[]	8269	
PRE-2225_singleHH	1	PRE	['PRE-2225']	['PRE-2225_singleHH_KID_0']	10985	
PRE-1306_singleHH	1	PRE	['PRE-1306']	[]	5063	
PRE-4643_M_PRE-4644	2	PRE	['PRE-4643', 'PRE-4644']	['PRE-4643_M_PRE-4644_KID_0']	3597	
PRE-928_singleHH	1	PRE	['PRE-928']	['PRE-928_singleHH_KID_0', 'PRE-928_singleHH_KID_1']	9223	
PRE-3559_singleHH	1	PRE	['PRE-3559']	['PRE-3559_singleHH_KID_0', 'PRE-3559_singleHH_KID_1']	999999999	
PRE-3480_singleHH	1	PRE	['PRE-3480']	['PRE-3480_singleHH_KID_0', 'PRE-3480_singleHH_KID_1', 'PRE-3480_singleHH_KID_2', 'PRE-3480_singleHH_KID_3']	4552	
PRE-4142_singleHH	1	PRE	['PRE-4142']	['PRE-4142_singleHH_KID_0']	19964	
PRE-2594_M_PRE-2595	2	PRE	['PRE-2594', 'PRE-2595']	['PRE-2594_M_PRE-2595_KID_0']	13742	
PRE-4213_singleHH	1	PRE	['PRE-4213']	[]	3824	
PRE-1534_singleHH	1	PRE	['PRE-1534']	['PRE-1534_singleHH_KID_0']	20251	
PRE-4971_singleHH	1	PRE	['PRE-4971']	['PRE-4971_singleHH_KID_0', 'PRE-4971_singleHH_KID_1']	8014	
PRE-2961_M_PRE-2962	2	PRE	['PRE-2961', 'PRE-2962']	['PRE-2961_M_PRE-2962_KID_0', 'PRE-2961_M_PRE-2962_KID_1', 'PRE-2961_M_PRE-2962_KID_2']	12027	
PRE-4449_M_PRE-4450	2	PRE	['PRE-4449', 'PRE-4450']	['PRE-4449_M_PRE-4450_KID_0', 'PRE-4449_M_PRE-4450_KID_1', 'PRE-4449_M_PRE-4450_KID_2']	12411	
PRE-1925_M_PRE-1926	2	PRE	['PRE-1925', 'PRE-1926']	['PRE-1925_M_PRE-1926_KID_0']	16371	
PRE-1779_singleHH	1	PRE	['PRE-1779']	['PRE-1779_singleHH_KID_0', 'PRE-1779_singleHH_KID_1', 'PRE-1779_singleHH_KID_2', 'PRE-1779_singleHH_KID_3']	15573	
PRE-4410_M_PRE-4411	2	PRE	['PRE-4410', 'PRE-4411']	['PRE-4410_M_PRE-4411_KID_0', 'PRE-4410_M_PRE-4411_KID_1', 'PRE-4410_M_PRE-4411_KID_2']	10196	
PRE-3832_singleHH	1	PRE	['PRE-3832']	[]	13405	
PRE-3298_M_PRE-3299	2	PRE	['PRE-3298', 'PRE-3299']	['PRE-3298_M_PRE-3299_KID_0']	14801	
PRE-3873_singleHH	1	PRE	['PRE-3873']	[]	999999999	
PRE-2885_singleHH	1	PRE	['PRE-2885']	['PRE-2885_singleHH_KID_0', 'PRE-2885_singleHH_KID_1', 'PRE-2885_singleHH_KID_2', 'PRE-2885_singleHH_KID_3']	999999999	
PRE-795_singleHH	1	PRE	['PRE-795']	['PRE-795_singleHH_KID_0', 'PRE-795_singleHH_KID_1', 'PRE-795_singleHH_KID_2']	2913	
PRE-404_singleHH	1	PRE	['PRE-404']	[]	11506	
PRE-230_singleHH	1	PRE	['PRE-230']	['PRE-230_singleHH_KID_0', 'PRE-230_singleHH_KID_1', 'PRE-230_singleHH_KID_2']	268	
PRE-195_singleHH	1	PRE	['PRE-195']	['PRE-195_singleHH_KID_0', 'PRE-195_singleHH_KID_1']	16203	
PRE-1404_singleHH	1	PRE	['PRE-1404']	['PRE-1404_singleHH_KID_0', 'PRE-1404_singleHH_KID_1', 'PRE-1404_singleHH_KID_2', 'PRE-1404_singleHH_KID_3']	17621	
PRE-4022_singleHH	1	PRE	['PRE-4022']	['PRE-4022_singleHH_KID_0', 'PRE-4022_singleHH_KID_1', 'PRE-4022_singleHH_KID_2', 'PRE-4022_singleHH_KID_3']	20263	
PRE-4957_M_PRE-4958	2	PRE	['PRE-4957', 'PRE-4958']	['PRE-4957_M_PRE-4958_KID_0', 'PRE-4957_M_PRE-4958_KID_1']	7228	
PRE-4697_M_PRE-4698	2	PRE	['PRE-4697', 'PRE-4698']	['PRE-4697_M_PRE-4698_KID_0', 'PRE-4697_M_PRE-4698_KID_1']	18149	
PRE-2837_M_PRE-2838	2	PRE	['PRE-2837', 'PRE-2838']	['PRE-2837_M_PRE-2838_KID_0', 'PRE-2837_M_PRE-2838_KID_1', 'PRE-2837_M_PRE-2838_KID_2']	17646	
PRE-4364_singleHH	1	PRE	['PRE-4364']	['PRE-4364_singleHH_KID_0']	999999999	
PRE-4828_M_PRE-4829	2	PRE	['PRE-4828', 'PRE-4829']	[]	6463	
PRE-2266_singleHH	1	PRE	['PRE-2266']	['PRE-2266_singleHH_KID_0', 'PRE-2266_singleHH_KID_1']	15556	
PRE-3688_singleHH	1	PRE	['PRE-3688']	[]	999999999	
PRE-2071_singleHH	1	PRE	['PRE-2071']	['PRE-2071_singleHH_KID_0', 'PRE-2071_singleHH_KID_1']	17119	
PRE-1611_singleHH	1	PRE	['PRE-1611']	[]	999999999	
PRE-3236_M_PRE-3237	2	PRE	['PRE-3236', 'PRE-3237']	['PRE-3236_M_PRE-3237_KID_0', 'PRE-3236_M_PRE-3237_KID_1', 'PRE-3236_M_PRE-3237_KID_2']	19660	
PRE-2527_M_PRE-2528	2	PRE	['PRE-2527', 'PRE-2528']	['PRE-2527_M_PRE-2528_KID_0', 'PRE-2527_M_PRE-2528_KID_1', 'PRE-2527_M_PRE-2528_KID_2']	4553	
PRE-4039_singleHH	1	PRE	['PRE-4039']	['PRE-4039_singleHH_KID_0', 'PRE-4039_singleHH_KID_1', 'PRE-4039_singleHH_KID_2']	3850	
PRE-4137_M_PRE-4138	2	PRE	['PRE-4137', 'PRE-4138']	['PRE-4137_M_PRE-4138_KID_0', 'PRE-4137_M_PRE-4138_KID_1', 'PRE-4137_M_PRE-4138_KID_2']	12727	
PRE-174_M_PRE-175	2	PRE	['PRE-174', 'PRE-175']	['PRE-174_M_PRE-175_KID_0']	4768	
PRE-1932_singleHH	1	PRE	['PRE-1932']	['PRE-1932_singleHH_KID_0', 'PRE-1932_singleHH_KID_1', 'PRE-1932_singleHH_KID_2', 'PRE-1932_singleHH_KID_3']	17989	
PRE-227_singleHH	1	PRE	['PRE-227']	['PRE-227_singleHH_KID_0', 'PRE-227_singleHH_KID_1']	8002	
PRE-119_M_PRE-120	2	PRE	['PRE-119', 'PRE-120']	['PRE-119_M_PRE-120_KID_0']	13585	
PRE-4297_M_PRE-4298	2	PRE	['PRE-4297', 'PRE-4298']	['PRE-4297_M_PRE-4298_KID_0']	15645	
PRE-3297_singleHH	1	PRE	['PRE-3297']	[]	19995	
PRE-1626_M_PRE-1627	2	PRE	['PRE-1626', 'PRE-1627']	['PRE-1626_M_PRE-1627_KID_0']	18348	
PRE-3929_M_PRE-3930	2	PRE	['PRE-3929', 'PRE-3930']	['PRE-3929_M_PRE-3930_KID_0', 'PRE-3929_M_PRE-3930_KID_1', 'PRE-3929_M_PRE-3930_KID_2']	3910	
PRE-3826_singleHH	1	PRE	['PRE-3826']	['PRE-3826_singleHH_KID_0', 'PRE-3826_singleHH_KID_1']	11997	
PRE-2983_singleHH	1	PRE	['PRE-2983']	['PRE-2983_singleHH_KID_0', 'PRE-2983_singleHH_KID_1', 'PRE-2983_singleHH_KID_2']	12096	
PRE-4753_singleHH	1	PRE	['PRE-4753']	['PRE-4753_singleHH_KID_0']	999999999	
PRE-2462_singleHH	1	PRE	['PRE-2462']	['PRE-2462_singleHH_KID_0', 'PRE-2462_singleHH_KID_1', 'PRE-2462_singleHH_KID_2']	3197	
PRE-3168_M_PRE-3169	2	PRE	['PRE-3168', 'PRE-3169']	['PRE-3168_M_PRE-3169_KID_0', 'PRE-3168_M_PRE-3169_KID_1', 'PRE-3168_M_PRE-3169_KID_2', 'PRE-3168_M_PRE-3169_KID_3']	18370	
PRE-1730_M_PRE-1731	2	PRE	['PRE-1730', 'PRE-1731']	['PRE-1730_M_PRE-1731_KID_0', 'PRE-1730_M_PRE-1731_KID_1', 'PRE-1730_M_PRE-1731_KID_2']	5338	
PRE-2152_singleHH	1	PRE	['PRE-2152']	['PRE-2152_singleHH_KID_0', 'PRE-2152_singleHH_KID_1', 'PRE-2152_singleHH_KID_2']	14703	
PRE-475_singleHH	1	PRE	['PRE-475']	['PRE-475_singleHH_KID_0', 'PRE-475_singleHH_KID_1', 'PRE-475_singleHH_KID_2', 'PRE-475_singleHH_KID_3']	14942	
PRE-1427_singleHH	1	PRE	['PRE-1427']	['PRE-1427_singleHH_KID_0', 'PRE-1427_singleHH_KID_1', 'PRE-1427_singleHH_KID_2']	15087	
