Area	Name	Age	MarriageStatus	kidsAges	StudentD	Income	Housetype	nRooms	JobType
1	0	19	0	[11, 10, 10, 12]	1	0	3	4	0	
1	1	57	0	[7, 5]	0	1	1	1	0	
1	2	23	0	[0, 9, 1]	1	0	3	5	1	
1	3	24	0	[16, 7]	3	2	2	2	1	
1	4	65	1	[17, 2]	0	4	1	4	1	
1	5	54	1	[15, 12]	0	3	3	2	1	
1	6	19	1	[12, 3, 8]	3	1	1	2	1	
1	7	22	0	[13, 13, 13, 4]	3	0	2	3	1	
1	8	71	0	[]	0	2	3	3	2	
1	9	30	1	[11, 15, 8]	0	3	2	2	1	
1	10	50	0	[]	0	0	3	3	0	
1	11	42	0	[8, 0]	0	0	3	2	1	
1	12	20	0	[11]	3	0	3	3	1	
1	13	22	0	[14, 2, 2]	0	2	1	2	1	
1	14	78	0	[10, 5]	0	0	3	4	2	
1	15	70	0	[8, 12]	0	2	3	3	2	
1	16	65	1	[4, 7, 15, 2]	0	4	3	3	1	
1	17	46	0	[1, 1]	0	4	1	3	1	
1	18	29	0	[2, 3, 8]	0	0	1	2	1	
1	19	41	0	[]	0	1	3	3	1	
1	20	35	0	[15, 15, 7, 4]	0	4	3	3	1	
1	21	67	0	[9, 17]	0	4	2	4	2	
1	22	34	1	[12, 3, 4]	0	4	3	3	1	
1	23	57	1	[3, 13, 6]	0	3	1	2	0	
1	24	57	1	[17, 11, 12]	0	3	3	2	1	
1	25	53	0	[12, 8]	0	1	3	2	0	
1	26	74	1	[]	0	0	3	4	2	
1	27	46	0	[11, 8]	0	1	3	5	1	
1	28	65	1	[7, 16, 16, 11]	0	1	1	2	1	
1	29	32	1	[0, 0]	0	2	3	3	1	
1	30	49	1	[15]	0	3	3	3	1	
1	31	21	0	[]	2	0	1	2	1	
1	32	29	0	[10, 5]	0	3	3	2	1	
1	33	18	1	[16]	0	4	2	3	1	
1	34	49	0	[16, 11, 12, 2]	1	0	3	4	1	
1	35	18	1	[5, 2, 12, 4]	3	1	3	2	1	
1	36	79	0	[12]	0	3	1	2	2	
1	37	33	0	[1, 7, 2, 3]	0	1	3	2	1	
1	38	22	0	[17, 2]	0	3	3	3	1	
1	39	22	1	[17, 3, 2, 2]	0	4	3	2	1	
1	40	36	0	[2, 5]	0	4	3	2	1	
1	41	22	0	[2, 8, 2, 8]	0	1	2	2	1	
1	42	66	0	[17]	0	3	3	4	2	
1	43	30	0	[]	0	2	1	1	1	
