NTest	timeS	timeE	runTime	runCount	year	startingP
0	3.12351632974e-06	0.0908947714122	0.0908916478958	10	100	2
1	0.0909505484895	0.138590865767	0.0476403172779	10	100	2
2	0.138613622815	0.17122938033	0.0326157575152	10	100	2
3	0.171257938194	0.215318259541	0.0440603213474	10	100	2
4	0.215342355238	0.255074375386	0.0397320201476	10	100	2
5	0.2551015946	0.282376585408	0.0272749908079	10	100	2
6	0.282398003805	0.312895124816	0.0304971210104	10	100	2
7	0.312921451596	0.342842060735	0.0299206091392	10	100	2
8	0.342863479133	0.375043729229	0.0321802500955	10	100	2
9	0.375065593843	0.400489678117	0.0254240842743	10	100	2
10	0.400510204082	0.43118447309	0.0306742690079	10	100	2
11	0.431206337704	0.466925531801	0.0357191940971	10	100	2
12	0.466948735065	0.495061274466	0.0281125394009	10	100	2
13	0.49508313908	0.525916261204	0.0308331221241	10	100	2
14	0.525932325003	0.556814530955	0.0308822059522	10	100	2
15	0.55683104097	0.589008613766	0.0321775727958	10	100	2
16	0.589023338914	0.621288370167	0.032265031253	10	100	2
17	0.621303541532	0.651345521592	0.0300419800595	10	100	2
18	0.651361139173	0.680288023903	0.0289268847298	10	100	2
19	0.680302749051	0.717299461327	0.036996712276	10	100	2
20	0.717315971342	0.745856878697	0.0285409073547	10	100	2
21	0.745877850878	0.776863132869	0.0309852819911	10	100	2
22	0.776883212617	0.804428610696	0.0275453980788	10	100	2
23	0.80444913666	0.83513634595	0.0306872092899	10	100	2
24	0.83516401138	0.866958284101	0.0317942727205	10	100	2
25	0.866981041148	0.901331688876	0.034350647728	10	100	2
26	0.901353553491	0.933290169312	0.0319366158218	10	100	2
27	0.93331292636	0.963408006197	0.0300950798371	10	100	2
28	0.963428085945	0.995929612006	0.0325015260608	10	100	2
29	0.995952369053	1.02540668183	0.0294543127729	10	100	2
30	1.02543033131	1.05277091596	0.0273405846509	10	100	2
31	1.05278608732	1.08371113007	0.0309250427476	10	100	2
32	1.08372674765	1.11579008899	0.0320633413414	10	100	2
33	1.11580570658	1.14674279717	0.0309370905963	10	100	2
34	1.14675841475	1.17999441337	0.0332359986149	10	100	2
35	1.18001092338	1.20620651619	0.0261955928077	10	100	2
36	1.20622168756	1.25178531269	0.0455636251352	10	100	2
37	1.2518125319	1.28660493408	0.0347924021804	10	100	2
38	1.28663081465	1.32006270236	0.0334318877105	10	100	2
